loss,validation_score
0.5318013715031031,0.7676724662367684
0.4828412209516335,0.7749117897554447
0.464388643097946,0.7809952548971895
0.44511894836378646,0.7917629881980777
0.42736110145589834,0.7932838544835138
0.41435331256970787,0.7985764691568318
0.40537674311448163,0.8005840126536075
0.3961742022699903,0.7991239810195887
0.3892463584941779,0.8014356977734518
0.3836940525253361,0.8030782333617228
0.37659727576480245,0.8039907531329845
0.37140514851984857,0.8038690838301497
0.365775100115181,0.8027132254532181
0.36112784037859075,0.8019223749847914
0.35515112466385795,0.8030173987103054
0.35001101319209893,0.8028957294074704
0.345469441993387,0.8026523908018007
0.34085431370437574,0.8050249422070812
0.3382668044015718,0.8013140284706168
0.3337837485513886,0.8056332887212556
0.3283386536650405,0.8047816036014114
0.32559516557195545,0.8023482175447134
0.32076548243445063,0.7996106582309284
0.31925188218852874,0.8018615403333739
0.3152862119761395,0.8039907531329845
0.31225285946531456,0.8000973354422679
0.30847319693247666,0.8007056819564424
0.3055779079554248,0.8020440442876262
0.30300565882932085,0.7955347365859594
0.3006185609613551,0.7989414770653365
0.2973642393012945,0.8041124224358195
