model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.6095196379033435,0.35590579493018515,0.6935653392502628,0.4704158415841584,0.687442934193028
Neural Network,0.8001752080595708,0.6331269349845201,0.47763634240336333,0.5444984357318778,0.8181315408974941
