feature,mean_auc_drop,std_auc_drop
carrier,0.1468663792337791,0.0019774834906800386
year,0.10140232314741845,0.00261722177216307
airport,0.08343532298186514,0.0021853968031291357
month,0.07504670239682924,0.002354163160624399
arr_flights,0.04888641190392784,0.0021899897005851067
arr_cancelled,0.03766310809783417,0.0017841753661955227
arr_diverted,0.004434635899789674,0.0005986169260146898
