model,accuracy,precision,recall,f1,roc_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std
Logistic Regression,0.6118719878453339,0.35775290977425256,0.6944233576642336,0.47222120106214877,0.6884302229602874,0.0021094375363380395,0.001396100111643827,0.0022147481773445643,0.0010979109440852313,0.0025483485516993552
Neural Network CV proxy,0.7986829923338304,0.64322435474383,0.4377229294140579,0.5208153557089124,0.8121016454885276,0.000968436305681988,0.0026227993091457063,0.012308027432444713,0.008160095250719963,0.0023865953180531633
